Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al Smith,smithal01,DNR,PG,27,76,2435,12.0,0.469,0.092,0.311,2.2,7.8,5.0,34.0,1.9,0.2,23.6,18.4,0.0,1.8,1.8,0.036,-1.1,-0.8,-1.9,0.1
Artis Gilmore,gilmoar01,KEN,C,24,84,3502,20.7,0.531,0.002,0.388,12.9,28.2,20.6,12.8,0.8,4.3,17.8,19.8,4.8,7.9,12.7,0.174,1.8,2.2,4.0,5.4
Barry Parkhill,parkhba01,VIR,SG,22,60,869,5.6,0.42,0.052,0.197,1.5,6.0,3.7,15.5,1.5,0.7,19.2,18.6,-1.1,0.3,-0.8,-0.046,-5.4,-0.9,-6.3,-1.0
Bernie Williams,willibe01,VIR,SG,28,6,51,4.8,0.377,0.105,0.105,0.0,7.8,3.9,18.9,0.9,0.0,20.1,18.9,-0.1,0.0,-0.1,-0.088,-4.0,-0.7,-4.7,-0.1
Bill Keller,kellebi01,IND,PG,26,75,1428,15.4,0.534,0.213,0.2,2.9,5.5,4.2,17.8,1.2,0.1,13.0,21.0,2.6,1.0,3.6,0.12,1.5,-0.9,0.6,0.9
Bill Melchionni,melchbi01,NYN,PG,29,56,1146,9.9,0.482,0.083,0.257,1.1,5.4,3.3,21.3,2.0,0.2,21.9,13.3,0.3,1.3,1.6,0.068,-2.4,0.4,-1.9,0.0
Bill Newton,newtobi01,IND,C,23,11,73,4.9,0.472,0.0,0.133,1.3,21.7,11.6,8.8,1.3,0.0,30.6,12.2,-0.1,0.1,0.0,0.001,-4.8,0.4,-4.4,-0.1
Billy Cunningham,cunnibi01,CAR,SF,30,32,1190,19.7,0.53,0.015,0.348,7.6,21.9,14.7,18.0,2.3,1.0,17.0,24.6,1.7,1.8,3.5,0.141,2.4,0.6,3.0,1.5
Billy James,jamesbi01,KEN,PG,23,1,10,-4.8,0.333,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,25.0,15.5,0.0,0.0,0.0,-0.125,-4.9,-0.2,-5.1,0.0
Billy Paultz,paultbi01,NYN,C,25,77,2596,18.2,0.531,0.001,0.293,8.2,21.3,14.9,8.6,1.1,3.1,12.9,20.3,4.0,4.9,8.9,0.165,1.0,1.1,2.1,2.7
Billy Schaeffer,schaebi01,NYN,SF,22,59,871,11.8,0.523,0.026,0.157,5.7,10.2,8.0,5.6,1.3,0.6,12.6,18.7,0.8,1.1,1.9,0.104,-2.2,-0.2,-2.4,-0.1
Billy Shepherd,shephbi01,SDA,PG,24,84,1738,11.4,0.453,0.381,0.125,1.1,4.6,2.8,25.2,2.5,0.3,17.7,14.4,0.5,0.8,1.3,0.035,-1.0,-0.1,-1.1,0.4
Bird Averitt,averibi01,SAS,SG,21,74,1639,10.4,0.421,0.055,0.246,2.9,5.2,4.0,13.2,1.9,0.2,11.9,30.0,-2.2,1.7,-0.5,-0.016,-3.4,-1.3,-4.7,-1.1
Bo Lamar,lamarbo01,SDA,SG,22,84,2824,15.2,0.456,0.143,0.203,3.3,6.2,4.7,14.2,2.0,0.2,8.9,26.9,1.3,1.2,2.5,0.042,0.1,-1.0,-0.9,0.8
Bob Arnzen,arnzebo01,IND,SF,26,20,149,11.2,0.539,0.021,0.188,6.4,6.3,6.3,2.8,0.9,0.7,13.3,15.7,0.2,0.1,0.3,0.083,-2.0,-0.5,-2.4,0.0
Bob Lackey,lackebo01,NYN,SG,24,3,15,14.3,0.429,0.0,0.0,20.1,6.5,13.2,8.9,3.0,0.0,12.5,20.7,0.0,0.0,0.0,0.094,-4.0,0.0,-4.0,0.0
Bob Netolicky,netolbo01,"SAS,IND",C,31,75,1645,16.1,0.514,0.009,0.256,10.4,13.1,11.7,8.8,0.8,1.1,12.0,19.9,2.3,1.8,4.1,0.12,1.4,-0.7,0.7,1.1
Bob Warren,warrebo01,"UTS,SAS",SG,27,59,799,11.6,0.493,0.024,0.286,7.2,6.8,6.9,13.0,1.3,0.9,17.8,18.5,0.4,0.6,0.9,0.056,-0.9,-0.5,-1.4,0.1
Brian Taylor,taylobr01,NYN,PG,22,75,2505,12.7,0.506,0.038,0.188,3.7,4.7,4.2,16.9,2.8,0.5,16.6,15.3,2.0,3.3,5.3,0.102,-1.0,1.6,0.6,1.6
Bruce Seals,sealsbr01,UTS,SF,20,78,1358,11.2,0.418,0.149,0.179,8.0,13.1,10.7,5.6,2.0,2.3,11.0,22.6,-1.0,1.3,0.3,0.01,-3.4,-0.8,-4.2,-0.8
Byron Beck,beckby01,DNR,C,29,82,1979,15.8,0.548,0.001,0.171,8.1,13.2,10.5,5.8,1.1,0.2,8.6,18.9,4.3,1.5,5.9,0.142,0.9,-0.4,0.4,1.2
Caldwell Jones,jonesca01,SDA,C,23,79,2929,17.7,0.498,0.007,0.211,9.7,24.7,17.0,6.2,1.0,5.2,11.5,16.9,3.3,4.3,7.6,0.125,-0.2,1.6,1.4,2.5
Charles Edge,edgech01,MMT,SF,23,78,1948,16.8,0.531,0.002,0.292,13.2,21.0,17.1,5.2,1.6,2.0,15.6,17.5,2.4,1.7,4.1,0.101,0.8,-0.9,-0.1,1.0
Chuck Terry,terrych01,SAS,SF,23,61,1093,9.8,0.482,0.007,0.139,6.6,10.0,8.3,9.4,0.8,0.3,9.6,13.5,1.1,1.0,2.2,0.095,-1.5,0.0,-1.4,0.2
Chuck Williams,willich02,"SDA,KEN",PG,27,90,2876,13.0,0.512,0.013,0.416,2.5,5.5,4.0,24.1,1.4,0.2,19.1,17.4,2.5,1.4,3.8,0.064,-0.8,-0.9,-1.7,0.2
