Player,PlayerID,Tms,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Al Smith,smithal01,DNR,PG,27,76,,32.0,4.1,10.3,0.399,0.3,0.9,0.306,3.8,9.3,0.409,0.413,2.5,3.2,0.773,0.7,2.4,3.2,8.1,1.3,0.1,3.6,3.4,10.9
Artis Gilmore,gilmoar01,KEN,C,24,84,,41.7,7.4,15.0,0.493,0.0,0.0,0.0,7.4,15.0,0.494,0.493,3.9,5.8,0.667,5.7,12.6,18.3,3.9,0.7,3.4,3.8,3.6,18.7
Barry Parkhill,parkhba01,VIR,SG,22,60,,14.5,1.9,5.2,0.371,0.1,0.3,0.188,1.9,4.9,0.381,0.376,0.8,1.0,0.82,0.2,0.9,1.1,1.6,0.5,0.2,1.3,2.5,4.7
Bernie Williams,willibe01,VIR,SG,28,6,,8.5,1.0,3.2,0.316,0.2,0.3,0.5,0.8,2.8,0.294,0.342,0.3,0.3,1.0,0.0,0.7,0.7,1.2,0.2,0.0,0.8,0.5,2.5
Bill Keller,kellebi01,IND,PG,26,75,,19.0,3.7,8.2,0.454,0.7,1.7,0.382,3.1,6.5,0.473,0.494,1.4,1.6,0.87,0.6,1.1,1.7,2.3,0.5,0.0,1.3,1.1,9.5
Bill Melchionni,melchbi01,NYN,PG,29,56,,20.5,2.1,4.9,0.42,0.1,0.4,0.217,2.0,4.5,0.439,0.429,1.1,1.3,0.831,0.2,1.1,1.4,3.7,0.9,0.1,1.5,1.7,5.3
Bill Newton,newtobi01,IND,C,23,11,,6.6,0.6,1.4,0.467,0.0,0.0,,0.6,1.4,0.467,0.467,0.1,0.2,0.5,0.1,1.5,1.6,0.5,0.2,0.0,0.6,1.1,1.4
Billy Cunningham,cunnibi01,CAR,SF,30,32,,37.2,7.9,16.8,0.471,0.0,0.3,0.125,7.9,16.5,0.476,0.472,4.7,5.8,0.797,2.7,7.7,10.3,4.7,1.8,0.7,4.0,3.3,20.5
Billy James,jamesbi01,KEN,PG,23,1,,10.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0
Billy Paultz,paultbi01,NYN,C,25,77,,33.7,6.7,13.6,0.494,0.0,0.0,0.0,6.7,13.6,0.494,0.494,2.9,4.0,0.721,2.7,7.4,10.2,2.2,0.8,1.9,2.3,3.1,16.4
Billy Schaeffer,schaebi01,NYN,SF,22,59,,14.8,2.9,5.8,0.497,0.0,0.2,0.222,2.9,5.7,0.504,0.5,0.7,0.9,0.759,0.8,1.6,2.4,0.6,0.4,0.2,0.9,2.4,6.5
Billy Shepherd,shephbi01,SDA,PG,24,84,,20.7,2.4,6.3,0.377,0.8,2.4,0.322,1.6,3.9,0.412,0.439,0.5,0.8,0.636,0.3,1.0,1.3,4.4,1.2,0.1,1.4,1.2,6.0
Bird Averitt,averibi01,SAS,SG,21,74,,22.1,4.6,12.3,0.376,0.1,0.7,0.18,4.5,11.6,0.387,0.381,2.1,3.0,0.696,0.6,1.0,1.6,1.8,0.9,0.1,1.9,2.2,11.5
