Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Don Adams\adamsdo01,SF,27,SSL,16,342,11.0,.469,.010,.224,6.0,14.0,9.9,19.5,1.7,0.3,20.0,14.9,,0.1,0.3,0.3,.049,,-1.7,0.2,-1.5,0.0
2,George Adams\adamsge01,SF,25,SDA,75,1605,13.9,.526,.005,.138,6.8,13.0,9.8,10.5,1.2,1.1,13.8,18.4,,1.4,0.8,2.3,.068,,-0.6,-0.4,-1.0,0.4
3,Bird Averitt\averibi01,SG,22,KEN,84,2031,13.0,.476,.046,.316,2.6,6.5,4.5,22.2,2.0,0.4,16.7,26.9,,-0.4,3.0,2.6,.061,,-1.5,-0.2,-1.7,0.1
4,Marvin Barnes\barnema01,PF,22,SSL,77,3076,20.8,.527,.002,.282,13.3,25.9,19.5,12.0,1.4,2.3,14.9,25.4,,4.6,4.0,8.6,.133,,2.1,-0.4,1.7,2.9
5,Mike Barr\barrmi01,SG,24,SSL,54,1341,8.2,.523,.007,.152,1.5,5.7,3.5,15.8,2.3,0.5,25.8,10.9,,-0.1,0.8,0.7,.025,,-3.2,0.6,-2.6,-0.2
6,Tim Bassett\basseti01,PF,23,SDA,72,1998,11.4,.492,.008,.282,10.0,15.5,12.7,7.1,1.0,0.9,14.3,13.1,,1.3,1.1,2.4,.057,,-1.1,-0.7,-1.8,0.1
7,Lloyd Batts\battsll01,SG,23,VIR,58,1317,11.3,.414,.216,.138,5.5,10.2,7.8,12.7,2.6,0.3,11.0,24.8,,-1.4,1.0,-0.5,-0.017,,-1.6,-0.4,-2.0,0.0
8,Byron Beck\beckby01,PF,30,DNA,84,1818,13.6,.539,.001,.130,7.9,12.1,10.1,7.7,1.4,0.4,8.8,18.0,,3.3,1.8,5.1,.134,,-0.3,-0.6,-0.9,0.5
9,Lionel Billingy\billili01,PF,22,VIR,46,1022,10.5,.475,.006,.407,10.7,18.1,14.3,7.1,1.9,0.5,22.8,21.2,,-1.3,0.9,-0.4,-0.018,,-3.3,-0.9,-4.1,-0.6
10,Ron Boone\boonero01,SG,28,UTS,84,3414,18.4,.540,.019,.238,4.5,7.8,6.2,18.9,1.8,0.6,14.6,27.9,,5.4,2.9,8.3,.117,,2.1,-0.2,1.9,3.4
11,Jim Bradley\bradlji01,PF,22,KEN,56,922,14.0,.489,.012,.315,11.1,19.4,15.4,9.7,1.4,1.8,16.4,19.0,,0.4,1.8,2.3,.119,,-1.0,1.0,0.0,0.5
12,Roger Brown*\brownro01,SF,32,TOT,56,1272,12.4,.516,.238,.271,4.5,9.2,7.0,12.6,1.8,0.9,16.6,18.3,,0.7,1.1,1.8,.069,,-0.3,0.5,0.1,0.7
12,Roger Brown*\brownro01,SF,32,MMS,7,209,12.1,.460,.293,.195,5.2,10.1,7.5,13.7,0.7,1.3,11.0,20.0,,0.1,0.1,0.1,.030,,-0.3,-1.1,-1.4,0.0
12,Roger Brown*\brownro01,SF,32,UTS,39,930,12.8,.535,.218,.321,3.9,9.2,6.6,12.4,1.9,0.9,17.1,18.0,,0.7,0.9,1.6,.085,,0.0,0.9,0.9,0.7
12,Roger Brown*\brownro01,SF,32,INA,10,133,9.8,.482,.261,.087,8.3,8.4,8.3,12.1,2.4,0.4,22.7,17.5,,0.0,0.1,0.1,.022,,-2.8,-0.2,-2.9,0.0
13,Don Buse\busedo01,PG,24,INA,80,2369,11.7,.491,.246,.118,3.3,8.0,5.5,16.3,3.2,0.3,15.3,9.9,,2.4,2.2,4.6,.094,,-1.1,2.1,0.9,1.8
14,Joe Caldwell\caldwjo01,SF,33,SSL,25,841,14.1,.500,.021,.267,5.1,8.1,6.6,20.6,2.6,0.6,16.9,19.8,,0.4,0.7,1.1,.061,,-0.2,0.3,0.1,0.4
15,Mack Calvin\calvima01,PG,27,DNA,74,2463,19.2,.587,.016,.532,1.6,7.2,4.6,29.8,2.5,0.2,18.5,23.3,,6.5,2.5,9.0,.176,,2.7,-0.3,2.3,2.7
16,George Carter\cartege01,SF,31,MMS,82,3066,15.2,.493,.027,.295,7.4,12.0,9.6,12.1,1.4,0.6,11.5,23.5,,2.5,1.6,4.1,.064,,-0.2,-1.3,-1.5,0.4
17,Glen Combs\combsgl01,SG,28,VIR,13,190,10.0,.482,.313,.403,2.7,3.4,3.0,17.3,1.0,0.6,16.9,20.2,,0.0,0.0,0.0,.010,,-1.4,-1.1,-2.5,0.0
18,Louie Dampier*\dampilo01,PG,30,KEN,83,2879,16.8,.544,.080,.167,1.5,5.7,3.7,22.0,1.5,1.0,10.2,19.5,,6.1,3.9,10.1,.168,,2.6,1.0,3.5,4.0
19,Mel Daniels*\danieme01,C,30,MMS,71,1646,16.1,.480,.000,.284,11.1,28.9,19.7,10.8,1.2,3.3,16.3,22.0,,-0.1,2.3,2.2,.065,,-2.1,0.4,-1.7,0.1
20,Lee Davis\davisle01,PF,29,SDA,75,1838,17.0,.552,.022,.231,9.2,16.7,12.9,8.2,1.0,1.1,10.2,18.8,,3.5,1.1,4.6,.120,,1.1,-0.8,0.4,1.1
21,Randy Denton\dentora01,C,25,UTS,75,1482,17.5,.532,.000,.201,11.3,21.6,16.7,9.6,1.0,1.6,13.2,21.0,,2.2,2.0,4.3,.138,,0.8,0.2,1.0,1.1
22,Clyde Dickey\dickecl01,SG,23,UTS,58,472,5.5,.377,.074,.103,2.8,10.4,6.8,14.6,1.5,0.0,17.5,22.6,,-1.2,0.4,-0.8,-0.078,,-6.1,-1.1,-7.2,-0.6
23,Coby Dietrick\dietrco01,C,26,SAA,82,1724,14.5,.535,.009,.223,11.2,19.0,15.1,12.1,2.2,1.7,19.4,13.7,,2.1,2.5,4.5,.126,,0.1,1.8,1.9,1.7
24,Terry Driscoll\driscte01,PF,27,SSL,30,351,9.0,.418,.000,.221,10.3,14.8,12.5,11.4,1.2,0.9,17.3,17.5,,-0.2,0.2,0.1,.011,,-3.3,-0.9,-4.2,-0.2
