Player,PlayerID,Tms,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron McKie,mckieaa01,LAL,PG,33,14,121,6.1,0.272,0.167,0.167,2.9,16.5,9.7,12.5,2.2,0.0,13.4,5.6,0.0,0.1,0.1,0.041,-4.5,2.1,-2.4,0.0
Aaron Miles,milesaa01,GSW,PG,22,19,118,6.0,0.405,0.0,0.222,0.0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,-0.2,0.1,0.0,-0.015,-5.7,0.8,-5.0,-0.1
Aaron Williams,williaa01,"TOR,NOK",C,34,48,791,11.6,0.551,0.0,0.33,9.4,18.2,13.6,3.6,1.2,2.2,13.0,13.7,0.8,0.8,1.6,0.096,-3.2,-0.4,-3.6,-0.3
Adonal Foyle,foylead01,GSW,C,30,77,1824,10.3,0.524,0.0,0.223,8.5,17.6,13.0,2.8,1.2,5.1,19.5,10.0,0.3,2.5,2.8,0.075,-3.4,1.7,-1.7,0.1
Adrian Griffin,griffad01,DAL,SG,31,52,1245,11.6,0.521,0.01,0.26,7.4,14.4,11.0,10.8,2.2,0.6,14.6,10.0,1.4,1.5,2.9,0.113,-0.8,1.6,0.8,0.9
Al Harrington,harrial01,ATL,PF,25,76,2782,16.0,0.513,0.157,0.287,5.5,17.4,11.3,15.8,1.6,0.4,12.4,25.6,2.6,1.2,3.8,0.065,0.4,-1.7,-1.3,0.5
Al Jefferson,jeffeal01,BOS,PF,21,59,1062,16.2,0.53,0.011,0.354,11.4,22.6,17.2,5.0,1.5,3.3,12.4,21.6,0.9,1.5,2.3,0.105,-1.7,-0.4,-2.1,0.0
Alan Anderson,anderal01,CHA,SF,23,36,564,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1.0,0.6,13.9,18.2,0.2,0.3,0.4,0.037,-1.7,-1.7,-3.3,-0.2
Alan Henderson,hendeal01,CLE,C,33,51,531,12.2,0.564,0.0,0.538,13.3,17.3,15.3,2.9,0.9,1.7,16.3,11.7,0.7,0.6,1.3,0.116,-1.3,-0.8,-2.1,0.0
Alex Acker,ackeral01,DET,SG,23,5,35,-2.4,0.281,0.313,0.0,3.4,13.7,8.5,17.9,1.6,0.0,20.0,27.2,-0.2,0.0,-0.2,-0.23,-11.0,-4.2,-15.3,-0.1
Alex Scales,scaleal01,SAS,SG,27,1,0,,,,,,,,,,,,,0.0,0.0,0.0,,-5.0,-0.7,-5.7,0.0
Allen Iverson,iversal01,PHI,PG,30,72,3103,25.9,0.543,0.122,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,5.8,-1.0,4.8,5.3
Alonzo Mourning,mournal01,MIA,C,35,65,1302,19.4,0.615,0.003,0.711,11.8,20.3,16.2,1.4,0.5,10.2,16.0,17.5,2.1,2.6,4.8,0.176,-0.7,2.5,1.8,1.2
Alvin Williams,willial02,TOR,PG,31,1,10,-4.7,0.129,0.667,0.667,0.0,38.3,18.3,0.0,0.0,0.0,0.0,17.9,-0.1,0.0,-0.1,-0.278,-10.6,-4.5,-15.1,0.0
Amar'e Stoudemire,stoudam01,PHO,C,23,3,50,17.8,0.42,0.037,0.333,13.6,21.7,17.8,5.9,1.0,4.2,3.1,28.7,0.0,0.1,0.1,0.085,-2.0,-2.4,-4.4,0.0
Amir Johnson,johnsam01,DET,SF,18,3,39,20.3,0.85,0.3,0.4,9.0,3.1,6.1,13.4,0.0,3.7,25.4,19.2,0.1,0.0,0.2,0.208,1.1,-0.7,0.4,0.0
Anderson Varejão,varejan01,CLE,C,23,48,760,14.8,0.541,0.007,0.793,11.9,24.8,18.3,4.0,2.2,1.9,11.8,14.0,1.1,1.3,2.3,0.146,-1.5,0.7,-0.8,0.2
Andray Blatche,blatcan01,WAS,PF,19,29,175,10.1,0.45,0.194,0.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,-0.1,0.2,0.1,0.026,-4.9,-0.1,-5.0,-0.1
Andre Barrett,barrean01,"PHO,TOR",PG,23,19,282,11.3,0.398,0.135,0.115,3.7,7.1,5.4,29.5,1.9,0.0,12.1,20.3,-0.1,0.0,-0.1,-0.019,-1.7,-2.0,-3.6,-0.1
Andre Iguodala,iguodan01,PHI,SF,22,82,3086,14.8,0.598,0.23,0.507,4.4,13.8,9.1,12.9,2.3,0.5,15.4,14.7,4.9,2.6,7.5,0.116,0.2,0.4,0.6,2.0
Andre Miller,millean02,DEN,PG,29,82,2937,16.4,0.532,0.031,0.486,3.7,10.2,7.0,36.2,1.8,0.5,19.5,20.0,3.6,2.6,6.2,0.101,0.6,-0.4,0.2,1.7
Andre Owens,owensan01,UTA,PG,25,23,210,5.2,0.421,0.216,0.243,6.3,5.8,6.1,6.8,1.3,0.0,13.7,20.9,-0.3,0.1,-0.2,-0.047,-6.0,-2.3,-8.3,-0.3
Andrei Kirilenko,kirilan01,UTA,SF,24,69,2604,20.7,0.556,0.16,0.678,7.4,18.4,12.9,20.5,2.1,7.0,17.6,20.5,3.6,4.3,7.9,0.145,3.4,3.1,6.6,5.6
Andrew Bogut,bogutan01,MIL,PF,21,82,2348,15.2,0.555,0.005,0.32,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,3.1,2.4,5.5,0.113,-0.3,0.7,0.4,1.4
Andrew Bynum,bynuman01,LAL,C,18,46,338,7.4,0.394,0.0,0.329,11.9,16.0,13.9,4.1,0.6,5.0,15.3,15.0,-0.4,0.4,0.1,0.007,-6.1,-0.8,-6.9,-0.4
Andris Biedriņš,biedran01,GSW,C,19,68,1000,13.6,0.595,0.0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,1.6,1.3,2.9,0.137,-2.3,0.6,-1.6,0.1
Andrés Nocioni,nocioan01,CHI,PF,26,82,2239,16.1,0.567,0.286,0.291,4.6,21.0,12.8,9.0,0.9,1.8,11.3,21.3,3.3,3.4,6.7,0.144,0.8,0.9,1.7,2.1
Anfernee Hardaway,hardaan01,NYK,SF,34,4,72,2.0,0.336,0.071,0.143,0.0,17.1,8.4,17.0,1.5,0.0,28.7,13.1,-0.2,0.0,-0.2,-0.101,-6.1,0.4,-5.7,-0.1
Antawn Jamison,jamisan01,WAS,SF,29,82,3288,17.7,0.518,0.25,0.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,4.9,3.2,8.2,0.119,2.4,-1.2,1.2,2.7
